微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JpgHrm0Di,我配了一副眼镜，但是因为把这个世界看的太清楚了，我没有戴。——心里没点数么  ,,无,无,无,2020-10-15 09:33,微博 weibo.com,1125,81,70
JpfUJqfBe,在本次案件中，王警官不负众望被全票放逐 ——污克兰  ,,无,无,无,2020-10-15 07:33,微博 weibo.com,769,8,35
JpcIA3LDV,夜里很安静，我打开录音机录了下来，等吵闹的时候播放。——@花椒軍士24  ,,无,无,无,2020-10-14 23:24,天线宝宝的Android,6202,962,174
JpcdQayeR,土是无冕之王——@一只筐  ,,无,无,无,2020-10-14 22:09,天线宝宝的Android,1235,35,71
JpcaF4ZGU,“你嗦你妈呢！”老王看着吃奶的儿子吼道——@花椒軍士24  ,,无,无,无,2020-10-14 22:01,天线宝宝的Android,1230,19,62
Jpc00kwMx,v“我本想这样大声斥责他，但还是教他人生经验吧”——每天抬头见喜  ,,无,无,无,2020-10-14 21:35,微博 weibo.com,780,9,64
JpbXYosyp,在这起窒息致死案中，凶手实际上是凶器，因此无罪释放。 ——蝙蝠贯日  ,,无,无,无,2020-10-14 21:30,微博 weibo.com,484,3,18
JpbVWzYId,地府里这几件事千万不能做，学会三个小妙招给判官带来好印象 ——胡闹北极熊  ,,无,无,无,2020-10-14 21:25,微博 weibo.com,1101,21,38
JpbTUEW9f,“我的附庸的附庸不是我的附庸！”套娃店老板拒绝退货。——漂泊中的信天翁  ,,无,无,无,2020-10-14 21:20,微博 weibo.com,725,8,45
JpbR4uTyo,警官们一致认为这件案子迷雾重重。当王警官打开空气净化器后，真相终于从迷雾中浮现出来。——一只可爱公鸡  ,,无,无,无,2020-10-14 21:13,微博 weibo.com,679,11,23
JpbIXn7Jf,这一个尚武的民族，下午便不复存在——dsb2sb  ,,无,无,无,2020-10-14 20:53,微博 weibo.com,662,28,38
JpbkBlVMh,看到腿有残疾的爷爷走路很慢，小明主动扛起爷爷的拐杖帮他减轻负担 ——低调的蛆  ,,无,无,无,2020-10-14 19:53,微博 weibo.com,589,5,38
Jpb4mEDqZ,中午，几个食人族走进了相传会宰人的饭店 ——哈哈大母玩  ,,无,无,无,2020-10-14 19:13,微博 weibo.com,613,7,32
JpaWfo3qH,销售说车子有十四个安全气囊，我叫他打开看看都不愿意，态度真差——疯狂答题者IsMe  ,,无,无,无,2020-10-14 18:53,微博 weibo.com,604,2,27
JpaxTp4Ue,我不是戒欲，是缓冲——@或许是只桔猫  ,,无,无,无,2020-10-14 17:53,微博 weibo.com,731,28,44
Jp9dttx0n,眼保健操现在开始：第一节，亢龙有悔～——抵制一美帝  ,,无,无,无,2020-10-14 14:30,天线宝宝的Android,1056,21,55
Jp84ByN9z,老王找到专家，大的古董收吗？专家说收！老王指地，这个地球值钱不——c1415161213  ,,无,无,无,2020-10-14 11:35,天线宝宝的Android,580,6,45
Jp7TD1Kus,正步，跑！——DB学院院长  ,,无,无,无,2020-10-14 11:08,天线宝宝的Android,456,3,34
Jp316DYfS,老王心急如焚触发了房间里的烟雾报警器。——@花椒軍士24  ,,无,无,无,2020-10-13 22:43,微博 weibo.com,790,21,29
Jp2KSfBJZ,我的超能力就是所有人的超能力消失——太多重名的账号  ,,无,无,无,2020-10-13 22:03,微博 weibo.com,1247,35,144
Jp2CL1fwz,守灵习俗最初是为了防止死者跑出去上网 ——ATUD  ,,无,无,无,2020-10-13 21:43,微博 weibo.com,558,12,36
Jp2ep4s1O,不知道大家发现了没有 大街上的外星人真是越来越少了——@都要好过  ,,无,无,无,2020-10-13 20:43,微博 weibo.com,1167,9,56
Jp1Yaemvv,小明在饭店吃鸡蛋时吃到弹簧，厨师称这是正常现象。——一只可爱公鸡  ,,无,无,无,2020-10-13 20:03,微博 weibo.com,841,11,54
Jp1Q314hu,在黄泉路等死的时候行李被顺走 ——旺星人  ,,无,无,无,2020-10-13 19:43,微博 weibo.com,561,9,39
Jp1HVtKBK,吸毒的机器人会比较喜欢木马还是熊猫烧香 ——100vicecity  ,,无,无,无,2020-10-13 19:23,微博 weibo.com,883,16,36
Jp1zOjLNh,圆内接四边形四点共圆 ——西门浪客  ,,无,无,无,2020-10-13 19:03,微博 weibo.com,484,6,47
Jp1rH8GAo,这个监狱设计得很好，没有一个人能进去。——@花椒軍士24  ,,无,无,无,2020-10-13 18:43,微博 weibo.com,648,6,36
Jp1jzAgLU,解剖吸血鬼发现体内藏有一个巨大的光敏电阻 ——旺星人  ,,无,无,无,2020-10-13 18:23,微博 weibo.com,982,20,50
Jp1bsjHF9,小明一人分饰两角，分别被两个小朋友捡走交给警察叔叔  ——@一只筐  ,,无,无,无,2020-10-13 18:03,微博 weibo.com,618,12,33
Jp1307BVy,食人族的年轻人营养不良竟是因为更爱纸片人 ——小喪的哭號  ,,无,无,无,2020-10-13 17:42,微博 weibo.com,573,21,37
Jp0ZhmX3j,新生儿一出生就口吐白沫，王医生怀疑孕妇在剖宫前被人上下摇过。——@花椒軍士24  ,,无,无,无,2020-10-13 17:33,微博 weibo.com,622,5,33
Jp0J2BgsO,篮球系学生因篮球课翘课打篮球被通报批评 ——半灵-妖梦  ,,无,无,无,2020-10-13 16:53,微博 weibo.com,1233,17,61
Jp0AVnYA4,我怀疑你是本案的死者，请你跟我们走一趟——smile巧克力1  ,,无,无,无,2020-10-13 16:33,微博 weibo.com,655,6,24
Jp0tk3kKP,众所周知，学中文很难，赚取财富很难，破译密码也很难。这位俄罗斯人居然学会了中文财富密码，他真是太厉害了。——浪河汹涌  ,,无,无,无,2020-10-13 16:14,微博 weibo.com,835,10,26
Jp0gDf3rp,小明生性凉薄，注重养生的王老汉买来人参跟他一起炖。 ——00章鱼哥0  ,,无,无,无,2020-10-13 15:43,微博 weibo.com,400,8,25
JoZShbFSm,食人族酋长看《狂人日记》看得口水直流——Minecraft狼狼  ,,无,无,无,2020-10-13 14:43,微博 weibo.com,514,4,41
JoZKX2CeM,有姐妹下星期一起拼个你死我活吗 一人捅一刀就行很实惠的——KickTheirAssYa  ,,无,无,无,2020-10-13 14:25,微博 weibo.com,866,38,38
JoZpA2j75,骚断腿的小王面临截肢  ——@妈妈有狗叫  ,,无,无,无,2020-10-13 13:32,天线宝宝的Android,329,2,33
JoZp328aL,吃水不忘马里奥 ——@守护最好的谐音梗  ,,无,无,无,2020-10-13 13:31,天线宝宝的Android,644,8,45
JoZmL6nhn,千金难买万金油。 ——@肉肉lin  ,,无,无,无,2020-10-13 13:25,天线宝宝的Android,1654,90,76
JoZkppBSk,我仔细算了半年多发现前后5000年，都没有中秋和植树节重合的日子！  ——@守护最好的谐音梗  ,,无,无,无,2020-10-13 13:19,天线宝宝的Android,1028,4,35
JoZfqEkkr,突如其来的国庆假期打乱了小明的逃课安排，还好它终于要结束了。 ——@咕咕鸡咕咕咕嗝  ,,无,无,无,2020-10-13 13:07,天线宝宝的Android,308,3,13
JoZ7S0w0u,我报的是假警可来的怎么是真警察  ——@第七迷雾  ,,无,无,无,2020-10-13 12:48,天线宝宝的Android,1701,36,51
JoYUj2hfR,“你背叛了碳基生物！”小明对做了隆胸手术的妻子说。  ——@残缺断线重连  ,,无,无,无,2020-10-13 12:15,天线宝宝的Android,1196,31,54
JoY4a5JMu,姜太公钓鱼，友军厚葬。 ——@残缺断线重连  ,,无,无,无,2020-10-13 10:06,天线宝宝的Android,1199,16,71
JoXOZuh1o,晨勃退了，这一退，就是一辈子——@斋藤飞鸟的妹妹斋藤椒鸡  ,,无,无,无,2020-10-13 09:29,天线宝宝的Android,1029,14,88
JoTUUkhjU,如果一个食人族说：“我只吃不食人的食人族”，那么他应该吃掉自己吗？——驿山南  ,,无,无,无,2020-10-12 23:33,微博 weibo.com,895,19,108
JoTMN2Cnj,沉鱼落雁，闭月羞花的美眉是一种生化武器吧——浪河汹涌  ,,无,无,无,2020-10-12 23:13,微博 weibo.com,583,5,33
JoTwympfG,请问蛋糕放18年还能吃吗？今天刚成年我爸给我买了个18岁的蛋糕——在下姓老名爸  ,,无,无,无,2020-10-12 22:33,微博 weibo.com,1486,24,51
JoTor97Vm,为了庆祝这座举世闻名的大桥胜利竣工，工人们不得不在下面挖了条河——山之氵嘚羁旅  ,,无,无,无,2020-10-12 22:13,微博 weibo.com,3242,485,71
JoTgjxoVH,“666啊！”看着3+3也不会算的小明，老师无奈的吼道 ——孤山访梅  ,,无,无,无,2020-10-12 21:53,微博 weibo.com,819,17,38
JoT8cnqei,都说格瓦斯是液体面包，那什么是固体面包呢？——烦不_烦啊  ,,无,无,无,2020-10-12 21:33,微博 weibo.com,3726,238,130
JoT06hHjg,上帝能不能创造出和自己没有血缘关系的儿子——Mr鬼貀  ,,无,无,无,2020-10-12 21:13,微博 weibo.com,422,9,46
JoSX0j2uU,#弱智吧每周最佳# 2020年第43周，候选人来自转评赞数据，某人生日的两条特供段子不计入投票，大家投吧。1.国骂从cnm演变到nmsl，人口基数也就下来了2.他骨子里充满了骨髓3.我妈问我房间的灯关了没，于是我特地开灯检查了一遍，果然没关。4.两盏声控灯我一语双关。  2020年第43周                                 ,,无,无,无,2020-10-12 21:05,天线宝宝的Android,15055,218,290
JoSRXCOTP,大家管亲友叫自家人，那皇帝一定管皇室亲属叫自宫人吧——月夜魔术师  ,,无,无,无,2020-10-12 20:53,微博 weibo.com,270,2,26
JoSJQmfFC,315曝光，无良商家给衣服添加色素 ——大神周℡  ,,无,无,无,2020-10-12 20:33,微博 weibo.com,498,2,20
JoSBJcgAB,[生活小妙招]如果有没尝过风的味道的人，可以尝试一下风味酸奶——一只可爱公鸡  ,,无,无,无,2020-10-12 20:13,微博 weibo.com,740,28,35
JoStBDQJx,太平间是装尸体的房间，太平洋是专门负责海葬的海洋。——一季花开是我  ,,无,无,无,2020-10-12 19:53,微博 weibo.com,759,22,49
JoSdnb5kQ,令在场所有人都没有想到的是，老王年轻的时候，居然是小王。——zjj609333709  ,,无,无,无,2020-10-12 19:13,微博 weibo.com,979,19,70
JoS5g16WR,生而为人，我很抱歉。生鹅为人，基因突变。——狂魔CDd  ,,无,无,无,2020-10-12 18:53,微博 weibo.com,859,17,55
JoRYtwRKb,后羿能射下太阳是必然的，太阳那么大，弓箭那么小，怎么可能射不到。——@花椒軍士24  ,,无,无,无,2020-10-12 18:36,微博 weibo.com,2518,106,91
JoRCK22J8,我心里有一道坎，直到想到一条埂才填平了。 ——@第七迷雾  ,,无,无,无,2020-10-12 17:42,天线宝宝的Android,597,13,26
JoRp3mGCW,希望大家互相出席葬礼——@残缺断线重连  ,,无,无,无,2020-10-12 17:09,天线宝宝的Android,455,83,37
JoQTRstkb,凶手做菜手法极其残忍  ——@柯西Aka  ,,无,无,无,2020-10-12 15:52,天线宝宝的Android,590,8,37
JoQSj3im9,死者用他最后的血液写下了凶手的名字：巴勃罗.迭戈.荷瑟.山迪亚哥.弗朗西斯科.德.保拉.居安.尼波莫切诺.克瑞斯皮尼亚诺.德.罗斯.瑞米迪欧斯.西波瑞亚诺.德.拉.山迪西玛.特立尼达.玛利亚.帕里西奥.克里托.瑞兹.布拉斯科.毕加索！ ——@Siri男友的哥哥  ,,无,无,无,2020-10-12 15:48,天线宝宝的Android,3049,119,105
JoQOf4rY6,刚买的水煮鱼不吃东西怎么办  ——@柯西Aka  ,,无,无,无,2020-10-12 15:38,天线宝宝的Android,778,8,60
JoQLGAIRT,王奶奶很宠自己的孙子小明，为了安慰小明数学题没有算错，王奶奶以80m/s的速度在路上行走。  ——@H_Luffy_  ,,无,无,无,2020-10-12 15:32,天线宝宝的Android,2963,286,95
JoQJ0xTH5,曹操于城楼上问夏侯惇：“你瞧到了什么。”夏侯惇说：“瞧到马岱。”  ——@乔尼我们来干一杯吧  ,,无,无,无,2020-10-12 15:25,天线宝宝的Android,834,64,59
JoQiponyA,“噢～我的爱人～”“再爱我一点！”“噢，我的爱犬！  ——@但世界拥挤不堪  ,,无,无,无,2020-10-12 14:19,天线宝宝的Android,719,73,38
JoQ8x8UQq,被歹徒挟持的王警官情急之下将鼻屎抹在了歹徒的裤子上  ——@人民日扳  ,,无,无,无,2020-10-12 13:55,天线宝宝的Android,513,5,33
JoQ1i07ik,吸血鬼李医生大力推广放血疗法 ——@人民日扳  ,,无,无,无,2020-10-12 13:37,天线宝宝的Android,455,4,22
JoPYBDch2,你配送超时我也没说什么，怎么我支付超时你就不出餐？ ——@美人驴战士  ,,无,无,无,2020-10-12 13:31,天线宝宝的Android,1434,75,54
JoPT2gT9N,教大家如何区分蛇有没有毒。你被咬了以后中毒了就是毒蛇，没中毒就无毒。 ——@美人驴战士  ,,无,无,无,2020-10-12 13:17,天线宝宝的Android,1195,35,64
JoPx0sIrH,加上句号就显得这句话有些空洞了。 ——@顽皮小鳄鱼丶  ,,无,无,无,2020-10-12 12:23,天线宝宝的Android,987,18,66
JoPwvoWlE,我不想和嫂子走得太近，于是我断掉了兄弟关系。 ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2020-10-12 12:21,天线宝宝的Android,653,13,28
JoP4xufOx,“把手给我拿出来！”食人族酋长看着偷吃的小朋友说道。——@花椒軍士24  ,,无,无,无,2020-10-12 11:13,微博 weibo.com,478,7,38
JoP2rdRG1,蹲坑的时候听女朋友给我打了一小时电话，真是太肉麻了。——@宇宙级树莓酱  ,,无,无,无,2020-10-12 11:07,天线宝宝的Android,687,13,28
JoOGbuboB,精神病国的正常人要不要进正常人医院？——半灵-妖梦  ,,无,无,无,2020-10-12 10:13,微博 weibo.com,754,15,50
JoOhPwizm,法国人是最浪漫的，他们总是擅长表白。 ——@花椒軍士24  ,,无,无,无,2020-10-12 09:13,微博 weibo.com,659,13,28
JoNTtDVh2,有缘千里来相会，你给老子付路费。——老罗叔  ,,无,无,无,2020-10-12 08:13,微博 weibo.com,661,7,45
JoNv7CK9p,男同敢出柜但是直男却不敢，说明男同更爷们儿一些。——SH夏福  ,,无,无,无,2020-10-12 07:13,微博 weibo.com,2558,43,95
JoKDldmYd,中国最早的赘婿故事是不是《唐伯虎点秋香》？——D余辉  ,,无,无,无,2020-10-11 23:55,微博 weibo.com,953,13,40
JoKupr2dZ,【数学相关投稿两则】所以，ε会消失，对吗？——Davi_K面对幽灵 大师面无惧色 并写起了； (Σai^2)•(Σbi^2)>(Σaibi)^2——恶魔493  ,,无,无,无,2020-10-11 23:33,微博 weibo.com,1661,51,93
JoKltDCff,拿不出人证的老王，被法官判为猴子——凉伴suan什么  ,,无,无,无,2020-10-11 23:11,微博 weibo.com,1182,42,56
JoKeZdk2F,酒吧里遍地真言——@737三  ,,无,无,无,2020-10-11 22:55,微博 weibo.com,638,11,37
JoK63t9Us,黑人看见漂亮国警察，脸都吓白了，躲过一劫——100vicecity  ,,无,无,无,2020-10-11 22:33,微博 weibo.com,1480,76,53
JoJX81XXS,受疫情影响取消现实世界——ATUD  ,,无,无,无,2020-10-11 22:11,微博 weibo.com,765,78,36
JoJQDfqrl,有的人八十岁死了，但三十岁还活着——00章鱼哥0  ,,无,无,无,2020-10-11 21:55,微博 weibo.com,1857,15,83
JoJHHt5uz,“爸爸，我床下有人”鬼儿子惊恐的向鬼爸爸说道——凤舞幽兰西飘雪  ,,无,无,无,2020-10-11 21:33,微博 weibo.com,572,7,35
JoJyM461j,你是五子棋高手就不能开局让我五个子吗？！——的vdfvcsdcsdcd  ,,无,无,无,2020-10-11 21:11,微博 weibo.com,741,13,58
JoJshgrTg,海平面上升的说法是骗局，因为海平面的海拔高度永远是0米。——郭文治  ,,无,无,无,2020-10-11 20:55,微博 weibo.com,854,19,41
JoJjlxpJY,荷兰豆在中国被叫做荷兰豆——Mr鬼貀  ,,无,无,无,2020-10-11 20:33,微博 weibo.com,1119,14,58
JoJaq40NK,夸父追不到太阳的原因是太阳根本就不在地球上。——@花椒軍士24  ,,无,无,无,2020-10-11 20:11,微博 weibo.com,1174,82,73
JoJ3Vizj3,求好心人送我千万家产，到手之后我可以给你百万作为答谢！——@737三  ,,无,无,无,2020-10-11 19:55,微博 weibo.com,874,10,27
JoIUZCPct,有的人30岁埋了，30.01岁才死——00章鱼哥0  ,,无,无,无,2020-10-11 19:33,微博 weibo.com,1611,9,60
JoIM468zF,逆向思维大师老王将早餐店改为只在夜间营业完成市场垄断——凉伴suan什么  ,,无,无,无,2020-10-11 19:11,微博 weibo.com,803,14,36
JoIB2neZJ,糖豆人扒拉在一起变成了糖葫芦——@咩哈哈altime  ,,无,无,无,2020-10-11 18:43,微博 weibo.com,321,3,11
JoHTdmunY,学生提前交卷监考老师穿上衣服大呼不过瘾  ——@蒼井十一  ,,无,无,无,2020-10-11 16:55,天线宝宝的Android,523,1,29
JoHyq4fP9,火化时经常遇到的7件尴尬事，你经历过几件？ ——@蒼井十一  ,,无,无,无,2020-10-11 16:04,天线宝宝的Android,1329,12,63
JoAxrpWcg,东方不败凭借一己之力挡住了巨龙的全力一击，庆功宴上众人问他如何做到这惊天壮举，他微微一笑，没什么，空裆接龙罢了。——没关系的都一样  ,,无,无,无,2020-10-10 22:13,微博 weibo.com,730,26,53
JoA95pRL0,为了不让孩子吃手手，食人族妈妈给了孩子一只手。——@花椒軍士24  ,,无,无,无,2020-10-10 21:13,微博 weibo.com,381,0,25
JozKJwnxl,老人猿送小人猿上学，祖孙二猿竟哭成类人——@Arbor-Druid  ,,无,无,无,2020-10-10 20:13,微博 weibo.com,883,37,38
JozmnyuXe,宇宙在膨胀，谁能劝劝它不要骄傲——理想群三人行  ,,无,无,无,2020-10-10 19:13,微博 weibo.com,669,17,41
JoyY1v8NY,学生小王进入数学殿堂的第一天就被拖出去砍头——ATUD  ,,无,无,无,2020-10-10 18:13,微博 weibo.com,627,12,41
JoyGrdLJj,【数学相关投稿两则】这旋度场怎么无源无故就在这了呢？核桃因为自己就是自己的核，所以在镜子中成像为{e}——Davi_K  ,,无,无,无,2020-10-10 17:29,微博 weibo.com,907,37,73
JoyzFzrqp,为了抢人头，中单和打野同时施放了自己的大招，这可真是，一个头，两个大啊——@一只筐  ,,无,无,无,2020-10-10 17:13,微博 weibo.com,551,6,40
JowAveQio,玩捉迷藏被发现后，小王依依不舍地离开了乱葬岗——c1415161213  ,,无,无,无,2020-10-10 12:09,天线宝宝的Android,538,6,28
JovXjnO57,随着裁判的一声枪响，抢跑的运动员应声倒地身亡——斯蒂芬海大富  ,,无,无,无,2020-10-10 10:33,微博 weibo.com,1111,49,35
JovyXmD69,现在拍卖这个定时炸弹，还有两分钟就炸了大家要赶快——L无声嘶吼S  ,,无,无,无,2020-10-10 09:33,微博 weibo.com,959,13,41
JovaBoKFo,太极拳传人小李仅仅使出一招就整整花费了10年时间——书笑扇摇  ,,无,无,无,2020-10-10 08:33,微博 weibo.com,716,5,49
JouMft4pp,王警官经过多次实践证明此次作案手法确实能杀人——L无声嘶吼S  ,,无,无,无,2020-10-10 07:33,微博 weibo.com,606,6,30
JorDq5bp5,天文学家称：本次流星雨主要是因一颗大扫把星的陨落而造成的——此ID没失效  ,,无,无,无,2020-10-09 23:33,微博 weibo.com,699,12,20
Jorrf43jT,笑点很高的王老汉自豪道就算自己从88层楼跳下也仅仅是呲下牙而已——此ID没失效  ,,无,无,无,2020-10-09 23:03,微博 weibo.com,966,8,40
Jorf46db7,强盗推出优惠活动被抢100返50，可发送短信至10086办理——大神周℡  ,,无,无,无,2020-10-09 22:33,微博 weibo.com,499,7,40
Jor2T5554,葫芦娃长大和正常女生交配生了个瓢精——Noah柚柚柚游侠  ,,无,无,无,2020-10-09 22:03,微博 weibo.com,614,6,43
JoqQI543S,手术台林医师帮我把内脏都打扫的干干净净——别人邮箱我的号  ,,无,无,无,2020-10-09 21:33,微博 weibo.com,321,3,27
JoqEx9o6P,里面的人听着，你已经被600个倒地老头包围了——Noah柚柚柚游侠  ,,无,无,无,2020-10-09 21:03,微博 weibo.com,625,3,25
JoqsF5cY4,银角大王在点完全部人后发现人都不见了——丶坏人先生  ,,无,无,无,2020-10-09 20:33,微博 weibo.com,529,6,37
Joqgzn30z,#弱智吧每周最佳# 2020年第42周，大家假期过得怎么样？由于国庆假期，把原本应该周一发的投票延迟到今天，还是四选一，大家投吧1.小明不小心点错了赞，取消后却被博主私信威慑：“消赞必死。”2.“我还是决定跟你分手。我们就此道个别吧。”“别吧。”3.1010年前竟然是1010年4.煮豆燃豆萁，豆问红豆泥? 2020年第42周                                 ,,无,无,无,2020-10-09 20:04,天线宝宝的Android,19733,440,442
JoqeY4W0d,为了降低离婚率，可以适当提高丧偶率 ——春秋庆父  ,,无,无,无,2020-10-09 20:00,微博 weibo.com,1388,41,40
Joq8Sb31M,数学世界老百姓民不聊生称昏君名叫江苏数学 ——ATUD  ,,无,无,无,2020-10-09 19:45,微博 weibo.com,797,7,47
Joq2N75SV,住海南的老王北上广深。——@花椒軍士24  ,,无,无,无,2020-10-09 19:30,微博 weibo.com,1449,98,76
JopWHc7L1,你这孩子怎么只喝汽油不喝柴油，真挑食，看来要送你去变形记了，汽车人妈妈对小汽车人说——老罗叔  ,,无,无,无,2020-10-09 19:15,微博 weibo.com,625,10,30
JopQCbtzj,第四十一任总统一开口就知道，老布什了。——D余辉  ,,无,无,无,2020-10-09 19:00,微博 weibo.com,763,14,34
JopNpwElL,宝藏猎人杀了十几个宝藏男孩还没找到宝藏——用户您太长  ,,无,无,无,2020-10-09 18:52,微博 weibo.com,477,18,26
JopA9dJnI,第一次见面对方就友善的对他笑，让王法医觉得验尸工作很有爱——c1415161213  ,,无,无,无,2020-10-09 18:19,天线宝宝的Android,497,1,30
JooRZd5LI,小王不信迷信，看完鬼片后换碟，顺带插上了插头——c1415161213  ,,无,无,无,2020-10-09 16:30,天线宝宝的Android,634,10,51
JootmqK7p,老王种植重金属蔬菜 年产金属近万吨——想一下写什么呢  ,,无,无,无,2020-10-09 15:30,天线宝宝的Android,476,3,33
JoomFfK8O,几经劝说那人还不跳楼王警官恼火地玩起了蹦蹦床——Noah柚柚柚游侠  ,,无,无,无,2020-10-09 15:13,天线宝宝的Android,386,4,17
JooftDqUI,啤酒瓶与地面垂直，这瓶酒应该有90度～——抵制一美帝  ,,无,无,无,2020-10-09 14:55,天线宝宝的Android,864,19,44
Jooa31oWw,医生，听说你们这里没有床位了我们可以买站票吗?——主治医师林待育  ,,无,无,无,2020-10-09 14:42,天线宝宝的Android,853,7,31
JonJE20Ca,包公洗脸竟无意刮出百万大奖——L无声嘶吼S  ,,无,无,无,2020-10-09 13:37,天线宝宝的Android,511,10,23
Jonf8hvXK,楼上装修竟瞬间挖断我家无线网——主治医师林待育  ,,无,无,无,2020-10-09 12:22,天线宝宝的Android,385,4,36
Jon4HdcmF,有关研究表明，长时间节食，会比较省钱——MIA搓澡兽  ,,无,无,无,2020-10-09 11:56,天线宝宝的Android,468,12,50
JomTWc8SK,项羽开着挖掘机在战场横冲直撞确有万夫不挡之勇——别人邮箱我的号  ,,无,无,无,2020-10-09 11:30,天线宝宝的Android,672,11,36
JomOA6qVs,刘邦大喊:自杀不杀。看到希望的项羽立刻抜剑自刎——别人邮箱我的号  ,,无,无,无,2020-10-09 11:16,天线宝宝的Android,648,12,35
JomEdrRXj,妻子有狐臭十分苦恼，经过两年的医治终于用脚臭将其盖了过去。——L无声嘶吼S  ,,无,无,无,2020-10-09 10:51,天线宝宝的Android,613,4,37
Jomir323B,感谢林医师治好了我媳妇的不孕不育她己成功怀上了你的孩子——别人邮箱我的号  ,,无,无,无,2020-10-09 09:57,天线宝宝的Android,759,2,40
JoiiH2uAb,我在手术台上做大脑切除手术，医生问我要七成麻还是八成麻？——谢业新城  ,,无,无,无,2020-10-08 23:47,天线宝宝的Android,787,8,66
Joia3Al3q,拆迁队拖拉机与钉子户对峙5天欠下千元停车费——qhd1228  ,,无,无,无,2020-10-08 23:26,天线宝宝的Android,495,6,13
JohZ9yvfj,陈医师使出无影脚后就隐匿江湖长达八年的原因是找脚去了。——雪丶宝先森  ,,无,无,无,2020-10-08 22:59,天线宝宝的Android,507,7,22
JohP58VwG,比武时我一招神龙摆尾当场把叶公吓死了——我来合道  ,,无,无,无,2020-10-08 22:34,天线宝宝的Android,469,9,26
JohbusvIs,王警官觉得该案发现场所处位置不吉利，于是找风水先生选了块风水宝地，将案发现场一并迁了过去。——@花椒軍士24  ,,无,无,无,2020-10-08 20:56,天线宝宝的Android,546,5,23
JogYm7cno,留下你银行卡密码后6位，来评论区找数字相同的有缘人——在下姓老名爸  ,,无,无,无,2020-10-08 20:24,天线宝宝的Android,2124,29,211
JogRm3FYZ,“要辩证地看待问题。”王警官如此断定死者死了但也没死。——@花椒軍士24  ,,无,无,无,2020-10-08 20:07,天线宝宝的Android,601,13,50
JogG9zJBP,鴿子媽媽生小鴿子時鴿了，於是小鴿子也鴿了這個世界。——@花椒軍士24  ,,无,无,无,2020-10-08 19:39,天线宝宝的Android,742,22,34
JofidjiAP,为什么葫芦娃只有7个？-因为没葫芦想当老八。——生活是态度心情  ,,无,无,无,2020-10-08 16:07,天线宝宝的Android,714,13,57
JoeEfCcAh,不速之客到达会场的时候已经散会了——每天抬头见喜  ,,无,无,无,2020-10-08 14:29,天线宝宝的Android,414,6,20
Joeps64wb,每过二十四小时今天就会变成昨天，历史到底是在前进还是在后退？——59412b22  ,,无,无,无,2020-10-08 13:52,天线宝宝的Android,1721,106,69
Joe455OSe,坏了，孩子被押去法场没带伞，这要砍头的时候下雨可怎么办呀——旺星人  ,,无,无,无,2020-10-08 13:00,天线宝宝的Android,1513,39,52
Jodyr7hBm,#ID小诗# ，作者：@2100年2月30日星期八  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/006gMemDly1gjhrzxahscj30oe0zkgmt.jpg,http://ww2.sinaimg.cn/large/006gMemDly1gjhrzxmrulj30oe0zkgml.jpg,http://ww1.sinaimg.cn/large/006gMemDly1gjhrzxxnhsj30od0zkdgv.jpg,http://ww4.sinaimg.cn/large/006gMemDly1gjhrzy6b4kj30oe0zk3zl.jpg,http://ww4.sinaimg.cn/large/006gMemDly1gjhrzyg68jj30oe0zk3zn.jpg,http://ww3.sinaimg.cn/large/006gMemDly1gjhrzyqkndj30oe0zkab9.jpg,http://ww4.sinaimg.cn/large/006gMemDly1gjhrzyzpolj30oe0zkq3y.jpg,http://ww2.sinaimg.cn/large/006gMemDly1gjhrzz90o5j30oe0zk75b.jpg,http://ww4.sinaimg.cn/large/006gMemDly1gjhrzzm0t4j30oe0zkq43.jpg",无,无,2020-10-08 11:42,天线宝宝的Android,1829,402,541
Jodbrl6Ns,“看着自己孕育的成果就这样付诸东流，心情真的很复杂。”王老汉一边冲厕所一边想到。——SH夏福  ,,无,无,无,2020-10-08 10:45,天线宝宝的Android,1109,14,65
Jocmx7Jxq,王警官为追捕凶手苦练英文大小写切换。——@花椒軍士24  ,,无,无,无,2020-10-08 08:40,天线宝宝的Android,2430,91,100
Jo8pyyzD5,史铁生是章北海的破壁人——218tail  ,,无,无,无,2020-10-07 22:36,天线宝宝的Android,1244,53,97
Jo86MFdSH,祥林嫂端起机枪要扫射大家却被劝说“放下罢”——旺星人  ,,无,无,无,2020-10-07 21:50,天线宝宝的Android,1164,24,56
Jo7Rvhe1P,他骨子里充满了骨髓——00章鱼哥0  ,,无,无,无,2020-10-07 21:12,天线宝宝的Android,1103,32,57
